inventory_number,author,title,publisher,category
A085,Erika Silvestri,Il commerciante di bottoni,Rizzoli 2010,"Romanzo, testimonianza, deportazione ebrei"
A080,Debra Ginsberg,Mio figlio Blaze,Tea 2003,"Romanzo, diversità, pregiudizi"
A082,Giuseppe Pontiggia,Nati due volte,Mondadori 2002,"Romanzo, diversità, pregiudizi"
A083,Giuseppe Pontiggia,Nati due volte,Mondadori 2002,"Romanzo, diversità, pregiudizi"
A079,Piersandro Pallavicini,La chimica della bellezza,Feltrinelli 2016,"Romanzo, scienza, università"
A077,Luigi Garlando,‘O Maè' Storia di judo e di camorra,Piemme 2014,"Romanzo , camorra, Gianni Maddaloni, sport"
A076,Matthieu Mantanus,Beethoven e la ragazza con i capelli blu,Mondadori 2016,"Romanzo, musica classica"
A075,Umberto Eco,Storia delle terre e dei luoghi leggendari,Bompiani 2014,"Saggio, leggende, luoghi fantastici"
A059,Lucia Impelluso,La natura e i suoi simboli,Electa 2004,"Dizionario, simbolismo nell'arte"
A070,Christophe Léon,Reato di fuga,Sinnos 2016,"Romanzo, incidente, responsabilità,alta leggibilità"
A066,AA.VV.,"Centifuga fughe, ritorni e altre storie",Sinnos 2016,"Racconti, ragazzi, periferie,alta leggibilità"
A067,Bart Moeyaert,Il club della via Lattea,Sinnos 2011,"Romanzo, adolescenti, estate, ricerca di sé,alta leggibilità"
-,Lev Tolstoj,Anna Karenina,Einaudi 2014,"Romanzo Realismo, Russia, ipocrisia, gelosia, fedeltà,"
A117,Arthur Conan Doyle,Sherlock Holmes Tutti i racconti,Einaudi 2015,"Racconti , Inghilterra, investigazioni, delitti"
A116,Corrado Ceschinelli,Cambiamente,Curcu & Genovese,"Saggio, consapevolezza del vivere"
A071,Federico Appel,Pesi massimi,Sinnos 2014,"Graphic novel, sport, giustizia dignità ,alta leggibilità"
