inventory_number,author,title,publisher,category
A1351-14,Antonio Tabucchi,Sostiene Pereira,Salone internazionale del libro Torino 23,"romanzo, presa di coscienza, dittatura"
A1351-15,Antonio Tabucchi,Sostiene Pereira,Salone internazionale del libro Torino 23,"romanzo, presa di coscienza, dittatura"
A1351-16,Antonio Tabucchi,Sostiene Pereira,Salone internazionale del libro Torino 23,"romanzo, presa di coscienza, dittatura"
A1352,Alda Merini,L'altra verità,Bur Rizzoli 1997,"Biografia, manicomio"
A1353,Giuseppe Ungaretti,Vita d'un uomo,I meridiani A. Mondadori Editore 2009,Raccolta di poesie
A1354,David Grossman,Caduto fuori dal tempo,Mondadori 2011,"Romanzo, dolore, morte"
A1355,Cesare Pavese,La luna e i falò,Einaudi 1950,"Romanzo, ricordi, infanzia, guerra"
A1356,Alessandro D'Avenia,L'arte di essere fragili,Oscar Mondadori 2016,"Saggio, adolescenza, Leopardi"
A1357,Alessandro D'Avenia,"Bianca come il latte, rossa come il sangue",Oscar Mondadori 2010,"Romanzo, adolescenza, malattia"
A1358,Alessandro D'Avenia,L'appello,Mondadori 2020,"Romanzo, formazione, scuola,"
A1359,Cristina Obber,Era solo un selfie,Il battello a vapore 2022,"Romanzo, amicizia, revenge porn"
A1360,Virginie Grimaldi,Via dei colibrì,Fabbri editori 2021,"Romanzo, amore, ricordi"
A1361,Madeline Miller,Circe,Marsilio 2018,"Romanzo, mitologia"
A1362,Luigi Garlando,"Vai all'inferno, Dante!",Rizzoli 2020,"Romanzo, adolescenza, rivalità"
A1363,Cailin Og,Hope L'ultimo segreto del Fuoco,Adriano Salani Editore 2013,"Romanzo fantasy, mitologia"
A1364,Arthur Schnitzler,Doppio sogno,La biblioteca di Repubbica 2011,"Racconto, eros, inconscio"
A1365,Jean Christophe Derrien- Remi Torregrossa,1984,Edizioni Star Comics 2022,"Graphic novel, fantascienza distopica"
A1366,Giuseppe Pederali,I ragazzi di Villa Emma,Edizioni scolastiche Bruno Mondadori 1989,"Romanzo, nazismo, amicizia"
A1367,Edwin A. Abbott,Flatlandia,RL spa 2021,Racconto fantastico
A1368,Michael Zadoorian,Beautiful Music,Marcos Y Marcos 2018,"Romanzo formazione , musica, bullismo"
A1359-1,Cristina Obber,Era solo un selfie,Il battello a vapore 2022,"Romanzo, amicizia, revenge porn"
A1370,George Orwell,1984,RL spa 2021,Romanzo distopico
A1371,Elle Cosimano,Stagioni del caos,Rizzoli 2021,"Romanzo, fantasy, mitologia"
A1372,Federico Pace,La più bella estate,Einaudi 2022,"Racconti, viaggi, amori"
A1373,Seanan Mc Guire,Una porta per ogni cuore,Mondadori 2022,"Romanzo, fantasy, ecologia"
A1374,Bianca Pitzorno,La bambina con il falcone,Edizioni scolastiche Bruno Mondadori 1982,"Romanzo, avventura, Medioevo"
A1375,Molière,Commedie,Mondadori 1960,Teatro
A1376,Pier Paolo Pasolini,Ragazzi di vita,Garzanti 1962,"Romanzo, neorealismo, periferia"
A1377,Silvio Pellico,Le mie prigioni,SEI 1955,"Autobiografia, Risorgimento"
A1378,Boris L. Pasternak,Il dottor Zivago,Feltrinelli Editore 1958,"Romanzo, Russia, guerra civile, amore"
A1379,Linda Traversi,La panchina delle cose difficili,Einaudi Ragazzi 2022,"Romanzo, adolescenza, accettazione"
A1369,John Boyne,La sfida,Bur Rizzoli 2009,"Racconto, adolescenza, fuga"
A1370,Philip K. Dick,"Ubik, io sono vivo voi siete morti",Fanucci Editore 1969,"Romanzo, fantascienza, precog"
A1371,AAVV,Cuori connessi,Il Borgo Bologna 2022,"Racconti, bullismo, cyberbullismo"
A1372,"Pif, Marco Lillo","Io posso, due donne sole contro la mafia",Feltrinelli 2021,"Storia vera, mafia"
A1373,Rocco Tanica,Non siamo mai stati sulla Terra,Il Saggiatore 2022,Dialogo uomo macchina
A1374,Robert L. Stevenson,L'sola del tesoro,Panorama 1991,"Romanzo, avventura, Medioevo"
A1375,Erin Doom,Fabbricante di lacrime,Magazzini Salani 2021,"Romanzo dark, bene e male"
A1376,Dan Brown,Inferno,Mondadori 2013,"Romanzo, thriller, simbologia"
A1377,GustavoPietropolli Charmet,L'insostenibile bisongo di ammirazione,Editori Laterza 2018,"Saggio, psicologia, ammirazione"
A1378,Marie-Aude Murail,"Niente cravatta, Sauveur& figlio",Giunti 2017,"Romanzo, psicologia, famiglia"
A1379,Espérance Hakuzwimana,Tutta intera,Einaudi 2022,"Romanzo, identità, appartenenza"
A1380,Sahar Mustafah,La tua bellezza,Marcos Y Marcos 2020,"Romanzo, identità Islam"
A1381,Guiulio Ferroni,Ariosto,Corriere della sera 2016,"Saggio, letteratura italiana"
A1382,Nicola Lilin,La guerra e l'odio,Piemme 2023,"Saggio, guerra Russia Ucraina"
A1383,Valerio M. Manfredi,Lo scudo di Talos,Oscar Mondadori 1988,"Romanzo, guerra, Sparta"
A1384,Robert M. Pirsig,Lo Zen e l'arte della manutenzione della motocicletta,Adelphi 1981,"Viaggio, filosofia"
A1385,Casare Pavese,La luna e i falò,ET Scrittori 2020,"Romanzo, memoria, perdita delle illusioni"
A1386,Randa Ghazy,Sognando Palestina,Fabbri Editori 2002,"Romanzo, guerra, amicizia"
A1387,Jay Elliot,Steve Jobs. L'uomo che ha inventato il futuro,Hoepli 2015,Biografia
A1388,Joanne K. Rowling,Harry Potter e la pietra filosofale,Salani Editore 1997,"Romanzo, fantasy, maghi"
A1389,Rita Levi Montalcini,L'asso nella manica a brandelli,Baldini e Castoldi 1998,"Saggio, vecchiaia"
A1390,Umberto Veronesi,Il diritto di morire,Mondadori 2005,"Saggio, eutanasia"
A1391,"Marco t, Giordana, Fava, Zapelli",I cento passi,Feltrinelli 2014,"Sceneggiatura film, impegno civile, mafia"
A1392,Paolo Repossi,Il rito derl filare. Piccola disciplina del vigneto,Ediciclo 2023,"Saggio, rapporto uomo-natura"
A1393,Jean-Pierre Vernant,C'era una volta Ulisse,Einaudi 2006,"Racconti, miti greci"
A1394,Autori Vari,Parole ostili. 10 racconti a cura di Loredana Lipperini,Editori Laterza 2018,"Racconti, violenza verbale"
A1395,Marco Malvaldi,Oscura e celeste,Giunti 2023,"Romanzo giallo, Galileo Galilei"
A1396,Andrea Camilleri,Il boccone del povero,La Repubblica 2021,"Romanzo giallo, Vigata"
A1397,Andrea Camilleri,Il duello è contagioso,La Repubblica 2021,"Romanzo giallo, Vigata"
A1398,Stephen King,Carrie,RCS 1994,"Romanzo horror, telecinesi"
A1399,Tom Clancy,La grande fuga dell'Ottobre Rosso,RCS 1997,"Romanzo techno-thriller, spionaggio"
A1400,Emilio Salgari,Sandokan alla riscossa,Bur Ragazzi 2011,"Romanzo avventura, pirati, Malesia"
A1401,Elena Ferrante,Storia del nuovo cognome,Edizioni e/o,"Romanzo formazione, amicizia, Napoli"
A1402,Isabel Allende,Paula,Feltrinelli 1994,"Romanzo, malattia, morte"
A1403,Andrea Franzoso,Ero un bullo. La vera storia di Daniel Zaccaro,De Agostini 2022,"Romanzo, carcere, riscatto"
A1404,William Golding,Il Signore delle Mosche,Mondadori 2017,"Romanzo, distopia, autogoverno"
A1405,Martha Grimes,Shakespeare in nero (Una tragedia prefetta),Il Giallo Mondadori 1984,"Romanzo giallo, serial killer, Stratford"
A1406,Jules Verne,Ventimila leghe sotto i mari,Bur Ragazzi 2016,"Romanzo avventura, Nautilus"
A1407,Kazuo Ishiguro,Non lasciarmi,Einaudi 2016,"Romanzo distopico, amicizia"
A1408,"Paolo Vineis, Luca Savarino",La salute del mondo,Feltrinelli 2021,"Saggio, ambiente, clima, pandemie"
A1409,Roberto Cingolani,L'altra specie,Il Mulino 2019,"Saggio, intelligenza artificiale, robot"
A1410,Jean-Paul Sartre,Nausea,Penguin Modern Classics 1965,"Romanzo lingua inglese, crisi esistenziale, disagio"
A1411,Paolo Occhipinti,D'amore e di guerra,Cairo 2012,"Romanzo, guerra, figura femminile"
A1412,Andrew Norriss,Da quando ho incontrato Jessica,Il castoro 2016,"Romanzo, adolescenza, amicizia"
A1413,Pietro Grasso,Paolo Borsellino parla ai ragazzi,Feltrinelli 2021,Saggio. mafia
A1414,Sebastiano Maffettone,Il quarto shock,Luiss University Press 2020,"Saggio, virus, pandemia"
A1415,Michele Ainis,Il regno dell'Uroboro,La nave di Teseo 2018,"Saggio, social, solitudine"
A1416,Anna Lavatelli,Erano tutti figli miei,Notes Edizioni 2019,"Romanzo, guerra, persecuzioni razziali"
A1417,Charles M. Schulz,Tutto Peanuts anni 1950-1951,Hachette 2022,Fumetti
A1418,Oscar Wilde,The importance of being Earnest,Lucarini scuola 1986,"Commedia, satira società vittoriana, equivoci"
A1419,Jostein Gaarder,Il mondo di Sofia,Euroclub 1997,"Romanzo, filosofia"
A1420,George R.R. Martin,Il trono di Spade - Il grande inverno,Mondadori 2016,"Romanzo fantasy, lotte, intrighi"
A1421,-,Ombre sulla sabbia,Edizioni EL 2000,Libro game
A1422,Marie-Aude Murail,Lupa bianca lupo nero,Giunti 2019,"Romanzo, psicologia, adolescenza"
A1423,Claudio Moretti,Storie di grandi campioni,Newton Compton Editori 2019,Biografie sportivi
A1424,Mattia Bertoldi,Il coraggio di Lilly,Tre60 2022,"Romanzo storia vera, persecuzioni ebrei"
A1425,Fabio Geda,L'estate alla fine del secolo,Dalai editore 2011,"Romanzo ricordi, famiglia"
A1426,Valerio Massimo Manfredi,Il mio nome è nessuno-Il giuramento,Mondadori 2017,"Romanzo, Ulisse"
A1427,Harper Lee,Il buio oltre la siepe,Universale economica Feltrinelli 2013,"Romanzo di formazione, razzismo"
A1428,Primo Levi,I sommersi e i salvati,Einaudi scuola 2019,"Romanzo , Lager"
A1429,Fred Uhlman,L'amico ritrovato,Universale economica Feltrinelli 2013,"Romanzo di formazione, leggi razziali"
A1430,Cesare Pavese,La casa in collina,Einaudi 2020,"Romanzo, seconda guerra mondiale"
A1431,Francesco D'Adamo,Storia di Iqbal,Edizioni EL 2001,"Romanzo, sfruttamento minorile"
A1432,Voltaire,Candido o l'ottimismo,Universale Economica Feltrinelli 2019,Romanzo filosofico
A1433,Giovanni Verga,Storia di una capinera,Bur 2010,Romanzo epistolare
A1434,Emilio Lussu,Un anno sull'altopiano,Einaudi 2000,"Romanzo, Grande Guerra"
A1435,JacK London,Il richiamo della foresta,BIANCOENERO 2017,"Romanzo,corsa all'oro, audiolibro"
A1436,Primo Levi,I sommersi e i salvati,Emos,"Romanzo, Lager, audiolibro"
A1437,Josten Gaarder,Il mondo di Sofia,Longanesi 2009,Romanzo filosofico. CD
A1438,Massimo Gramellini,Fai bei sogni,Salani Editore 2012,"Romanzo, audiolibro"
A1439,André Aciman,Chiamami con il tuo nome,Salani Editore 2007,"Romanzo di formazione,.audiolibro"
A1440,AAVV,Le mille e una notte,Emos audionotes 2024,"Novelle,Audiolibro"
A1441,Jane Austen,Persuasione,Emos audionotes 2022,"Romanzo rosa, audiolibro"
A1442,Giuseppe Tommasi di Lampedusa,Il Gattopardo,Emos audionotes 2022,"Romanzo storico, Unità d'italia, audiolibro"
A1443,Fedor DostoevskiJ,Delitto e castico,Emos audionotes 2018,"Romanzo storico, audiolibro"
A1444,James Matthew Barrie,Peter Pan,Emos audionotes 2021,"Romanzo, narrativa fantasy, audiolibro"
A1445,Hermann Hesse,Siddharta,Emos audionotes 2021,"Romanzo, narrativa filosofica, audiolibro"
A1446,Francis Scott Fitgerald,Il grande Gatsby,Emos audionotes 2011,"Romanzo, narrativa americana,audiolibro"
A1447,Bram Stoker,Dracula,Emos audionotes 2022,"Romanzo Horror, audiolibro"
A1448,Jane Austen,Orgoglio e pregiudizio,Emos audionotes 2009,"Romanzo rosa, audiolibro"
A1449,Virginia Woolf,Al faro,Emos audionotes 2014,"Romanzo, audiolibro"
A1450,Lev Toltstoj,Anna Karenina,Emos audionotes 2021,"Romanzo, audiolibro"
A1451,Micol Sarfatti,Margherita Sarfatti,Giulio Perrone Editore 2023,Biografia
A1452,Ciro Auriemma,Il vento ci porterà,Piemme 2021,Romanzo rosa
A1453,Laura Imai Messina,Tokyo tutto l'anno,Einaudi 2020,Letteratura di viaggio
A1454,Mary Renauly,Giochi Funerari,Mondadori 2023,"Romanzo storico, Alessandro Magno"
A1455,Sylvia Plath,La campana di vetro,Mondadori 2023,Romanzo
A1456,Tadeusz Borowsky,"Da noi, ad Auschwitz",Mondadori 2023,"Romanzo,Lager"
A1457,Franco Forte,Gengis Khan,Mondadori 2023,Romanzo storico
A1458,Giovanni Nucci,Il mare color del vino,Salani 2021,"Romanzo, Ulisse"
A1459,Francesco D'Adamo,La traversata,Il castoro 2021,"Romanzo, migrazioni"
A1460,Luigi Rainero Fassati,Mal d'alcol,Salani 2017,"Saggio, dipendenze"
A1461,Silvia Avallone,Un'amicizia,Rizzoli 2021,"Romanzo, amicizia, provincia"
A1462,Fabrizio Casa,Fragile,Sinnos Editrice 2012,"Romanzo, adolescenza, criminalità, rugby"
A1463,Bianca Garavelli,Lle terzine perdute di Dante,Bur Narrativa 2015,"Romanzo, mistero, manoscritto"
A1464,Edgard Allan Poe,Eureka Poema in prosa,Tascabili economici Newton 1996,"Saggio, cosmogonia"
A1465,Conan Doyle,Gli aforismi di Sherlock Holmes,Tascabili economici Newton 1995,"Raccolta, citazioni"
A1466,Gina Basso,Il coraggio di parlare,Fabbri Editori 1971,"Romanzo, mafia"
A1467,Conan Doyle,Le avventure di Sherlock Holmes,Biblioteca Economica Newton 2008,"Racconti, misteri"
A1468,Massimiliano Frassi,I bambini delle fogne di Bucarest,Ferrari Editrice 2002,"Reportage, infanzia violata"
A1469,"Buronson, Tetsuo Hara",Ken il guerriero Volume 1,d/Books 1983,Manga
A1470,Alberto Manzi,Orzowei,Bompiani Editore 1961,"Romanzo avventura, Africa"
A1471,Christopher Paolini,Eragon,Fabbri Editori 2003,"Romanzo fantasy , draghi"
A1472,Montesquieu,Persian letters,Penguin Classics 1973,"Romanzo epistolare, lingua inglese"
A1473,Charles Dickens,A tale of two cities,The Penguin English Library 1970,"Romanzo storico, lingua inglese"
A1474,Agatha Christie,Murder on the links,Fontana Collins 1988,"Romanzo poliziesco, Poirot, lingua inglese"
A1475,Daniele Mencarelli,Sempre tornare,Mondadori 2021,Romanzo di formazione
A1476,Martin Gilbert,"La grande storia della Prima guerra mondiale, vol. 2",Il Giornale 1998,Saggio storico
A1477,Luca O'Connor,Harper Evans e la stella dei desideri,Edizioni WE 2021,"Romanzo, magia, desideri"
A1478,Agatha Christie,Poirot Investigates,Bantan Books 1982,"Racconti polizieschi, lingua inglese"
A1479,Edward M. Forster,A room with a view,Penguin Classics 1987,"Romanzo, borghesia vittoriana, lingua inglese"
A1480,Luigi Pirandello,Six characters in search of an author,Eyre Methuen 1979,"Dramma teatrale, identità, metateatro, lingua inglese"
A1481,Hermann Hesse,The journey to the East,Panther 1966,"Racconto allegorico, lingua inglese"
A1482,Autori vari,"English verse, edited by J. Hayward",Penguin Books 1985,"Raccolta poesie, lingua inglese"
A1483,Conan Doyle,Black Peter - The red-headed league,Easy readers 1980,"Racconti gialli, Sherlock Holmes, lingua inglese"
A1484,Agatha Christie,Ten little niggers,Fontana Collins 1979,"Romanzo giallo, lingua inglese"
A1485,Oscar Wilde,Il delitto di Lord Arthur Savile,Tascabili La Spiga,"Racconti, predestinazione"
A1486,Oscar Wilde,Un marito ideale,Tascabili Economici Newton 1994,"Commedia, dandy Lord Goring,"
A1487,Oscar Wilde,Un marito ideale,Tascabili Economici Newton 1994,"Commedia, dandy Lord Goring,"
A1488,George Orwell,1984,Crescere Edizioni 2024,Romanzo distopico
A1489,Melville,Le cento pagine più belle,Mondadori 1982,Antologia
A1490,Vincenzo Cerami,Un borghese piccolo piccolo,Corriere della sera 2003,"Romanzo, boom economico"
A1491,Charles Darwin,L'origine delle specie,Corriere della sera 2010,"Saggio, evoluzionismo"
A1492,Adam Smith,La ricchezza delle nazioni,Corriere della sera 2010,"Saggio, economia, capitalismo"
A1493,Sergio Valzania,Fare la pace - Vincitori e vinti in Europa,Salerno Editrice 2011,Saggio storico
A1494,Raoul Pupo,Trieste '45 Dalla risiera alle foibe,Corriere della sera 2010,Saggio storico
A1495,Alicia Giménez-Bartlett,Un vero e proprio viaggio,la Repubblica 2021,Racconto giallo
A1496,Andrea Camilleri,Doppia indagine,la Repubblica 2021,Racconto giallo
A1497,Andrea Camilleri,L'oro a Vigata,la Repubblica 2021,Racconto giallo
A1498,Andrea Camilleri,I cacciatori,la Repubblica 2021,Racconto giallo
A1499,Andrea Camilleri,Il palato assoluto,la Repubblica 2021,Racconto giallo
A1500,Andrea Camilleri,Il morto viaggiatore,la Repubblica 2021,Racconto giallo
A1501,Andrea Camilleri,Il terremoto del '38,la Repubblica 2021,Racconto giallo
A1502,Andrea Camilleri,La rettitudine fatta persona,la Repubblica 2021,Racconto giallo
A1503,"Manfred Lee, Frederic Dannay",L'avventura della signora barbuta,la Repubblica 2021,Racconto giallo
A1504,Manuel Vazquez Montalban,La dea nuda,la Repubblica 2021,Racconto giallo
A1505,Antonio Manzini,L'eremita,la Repubblica 2021,Racconto giallo
A1506,Maurizio de Giovanni,L'omicidio Carosino,la Repubblica 2021,Racconto giallo
A1507,Vincenzo Arte,Crescere senza voti,Mondadori 2023,Didattica
A1508,John Green,Cercando Alaska,BUR 2019,"Amore, dolore"
A1509,Kathleen Glasgow,E poi ci sono io,BUR 2018,"Young adult, malattia mentale"
A1510,Harper Lee,Il buio oltre la siepe,Universale economica Feltrinelli,"Romanzo di formazione,razzismo"
A1511,Luigi Garlando,Presentami un sogno,Harper Collins. 2021,"Romanzo di formazione, crisi postpandemica, sport"
A1512,Irene Vallejo,Il mio arco riposa muto,Bompiani 2023,Eneide in chiave moderna
A1513,ZEROCALCARE,Kobane calling,Bao 2020,Reportage a fumetti
A1514,Nicola Brunialti,Un nome che non è il mio,Sperling & Kupfer 2022,Shoah
A1515,Sara Gambazza,Ci sono mani che odorano di buono,Longanesi 2023,"Amore, ricordi"
A1516,Patrizia Carrano,La bambina che mangiava i comunisti,Vallecchi 2022,"Ideologia,infanzia,famiglia"
A1517,Daniele Aristarco,Io dico no!Storie di eroica disobbedienza,Einaudi Ragazzi 2017,"Coraggio,libertà ,Storia"
A1518,Cosima Buccoliero,Senza sbarre,Einaudi 2022,"Carcere, rieducazione,umanità"
A1519,Minuit,Le ragazze della foresta,Edizioni EL,"Natura, amicizia, libertà"
A1520,Marie-Aude Murail,Flipper (Sauver & figlio2),Giunti 2016,"Psicologia, adolescenza, intrecci"
A1521,AAVV,Donne al futuro,Il Mulino 2021,"Ritratti,impegno,futuro"
A1522,Cosima Buccoliero,Senza sbarre,Einaudi 2022,"Carcere, rieducazione,umanità"
A1523,Farhad Bitani,L'utimo lenzuolo bianco,Neri Pozza editore 2020,"Afghanistan,guerra,dialogo"
A1524,Niccolò Ammaniti,Io non ho paura,Einaudi 2001,"Segreti,infanzia,paura"
A1525,Evelyn Waugh,A Handful of dust,Penguin books,"Satira, disillusione"
A1526,David Thomson,England in the Nineteenth Century,Pelican Books,"Vittoriano, società"
A1527,Graham Greene,The Honorary Consul,Penguin book,"Moralità, confine"
A1528,AAVV,Le Mille e una notte (vol1)-(vol2),Edizioni Corriere della Sera,"Narrazione, magia, Oriente"
A1529,"Enrico Mentana, Liliana Segre",La Memoria rende liberi,Bur 2015,"Testimonianza, olocausto"
A1530,Luis Sepulveda,Il vecchio che leggeva romanzi d'amore,Narratori della Fenice 1989,"Amore, natura, civiltà"
A1531,Luis Sepulveda,Storia di una gabbianella e del gatto che le insegnò a volare,Salani 1998,"Identità, solidarietà"
A1532,Chuck Palahniuk,Invisible monsters,Oscar Mondadori 2012,"Identità, deformazione"
A1533,Alberto Moravia,Gli Indifferenti,Bompiani 1962,"Apatia,ipocrisia"
A1534,Oscar Wilde,Detti e aforismi,BUR 1999,"Estetica, paradosso"
A1535,Kahil Gibran,il profeta,Universale economica Feltrinelli 2010,Spiritualità e libertà
A1536,Bianca Pitzorno,La bambina col falcone,Salani 1992,"Ribellione, identità"
A1537,Dino Buzzati,La famosa invasione degli orsi di Sicilia,Arnaldo Mondadori scuola 1992,"Inooncenza, corruzione"
A1538,Robert Harris,Pompei,Mondadori 2003,Riscatto
A1539,Camilleri,La mossa del cavallo,Bur 1999,"Identità, giallo"
A1540,Robert Ludlum,Il Patto,Club degli editori 1979,"Cospirazione, sopravvivenza"
A1541,Jules Verne,I guai di un cinese in Cina,Edizoni Paoline,"Avventura, catarsi"
A1542,A.Dumas,Il conte di Montecristo,malpiero editore,"Avventura, vendetta"
A1543,Charles Dickens,Oliver Twist,Aurora editore,Critica sociale
A1544,Arthur Conan Doyle,Il mastino di Baskerville,Oscar Mondadori,Giallo
A1545,F. Scott Fitzgerald,Il grande Gatsby,Oscar Mondadori,Illusione dorata
A1546,William Golding,Il signore delle Mosche,Oscar Mondadori,"Male, civiltà"
A1547,Giovanni Falcone,Cose di Cosa Nostra,Fabbri editore,Mafia
A1548,JacK London,Il richiamo della foresta,Oscar Mondadori,Avventura
A1549,Simon Sebag Montefiore,I discorsi che hanno cambiato il mondo,edizioni White Star,-
A1550,Louisa May Alcott,Piccole donne,Bompiani,"crescita, sorellanza"
A1551,Louisa May Alcott,Piccole donne crescono,Aurora editore,romanzo di formazione
A1552,Louisa May Alcott,I ragazzi di Jo,Fratelli Melita editori,romanzo di formazione
