n_inventario,autore,titolo,casa_editrice,anno,isbn,generi,ripetuti
A1557,Dino Buzzati,Le notti difficili,Mondadori,1973,1014860431,"Narrativa, Racconti, Fantasy, Gotico",FALSE
819,Jane Austen,Emma,Oxford University Press,1990,9788836241712,"Lingue Straniere, Narrativa",FALSE
820,Jane Austen,Pride and Prejudice,Oxford University Press,1990,1853260002,"Lingue Straniere, Narrativa",FALSE
821,Charles Dickens,Christmas Books,Oxford University Press,1985,0753450178,"Lingue Straniere, Narrativa, Ragazzi",FALSE
823,Daniel Defoe,Moll Flanders,Oxford University Press,1981,9780192815418,"Lingue Straniere, Narrativa",FALSE
824,J. Fenimore Cooper,The last of the Mohicans,Oxford University Press,1983,0140390243,"Lingue Straniere, Romanzo Storico",FALSE
825,Joseph Conrad,Lord Jim,Oxford University Press,1983,9788852065156,"Lingue Straniere, Narrativa",FALSE
826,Charles Dickens,Great Expectations,Oxford University Press,1994,9781621073512,"Lingue Straniere, Narrativa, Formazione",FALSE
827,Charles Dickens,David Copperfield,Oxford University Press,1982,9780192815340,"Lingue Straniere, Narrativa",FALSE
828,William Thackeray,Vanity fair,Oxford University Press,1983,9788867971732,"Lingue Straniere, Narrativa, Classico",FALSE
829,Geoffrey Chaucer,The Canterbury Tales,Oxford University Press,1983,9781623958237,"Lingue Straniere, Narrativa, Classico",FALSE
831,Charles Dickens,The Pickwick Papers,Oxford University Press,1987,9780553902990,"Lingue Straniere, Narrativa, Classico",FALSE
838,Sebastiano Vassalli,La chimera,Einaudi,1992,9788858672402,Romanzo Storico,FALSE
840,Leonardo Sciascia,La strega e il capitano,Bompiani,1995,8879802526,"Saggistica, Storia",FALSE
844,Charles Dickens,"Timbra il tuo cartellino, Bristow",Mondadori,1973,-,"Fumetti, Graphic Novel",FALSE
A1611,Leonardo Sciascia,Il mare color del vino,Einaudi,1973,9788845972393,"Narrativa, Racconti",FALSE
845,Leonardo Sciascia,Il mare color del vino,Einaudi,1973,9788845972393,"Narrativa, Racconti",FALSE
846,Howard Post,Gli emarginati,Mondadori,1973,9788869632020,"Fumetti, Graphic Novel",FALSE
A1612,Leonardo Sciascia,Il mare color del vino,Einaudi,1973,9788845972393,"Narrativa, Racconti",FALSE
847,Charles M. Schulz,Il bambino a una dimensione,Mondadori,1971,-,"Fumetti, Graphic Novel",FALSE
848,Charles M. Schulz,E’ domani Charlie Brown,Mondadori,1974,9788893955959,"Fumetti, Graphic Novel",FALSE
A1613,Leonardo Sciascia,Il mare color del vino,Einaudi,1973,9788845972393,"Narrativa, Racconti",FALSE
849,Elzie Crisler Segar,Fino all’ultimo spinacio,Mondadori,1974,-,"Fumetti, Graphic Novel",FALSE
A1614,Leonardo Sciascia,Il mare color del vino,Einaudi,1973,9788845972393,"Narrativa, Racconti",FALSE
850,Leonardo Sciascia,Il mare color del vino,Einaudi,1973,9788806376513,"Narrativa, Racconti",FALSE
851,Mort Walker,Manuale della recluta,Mondadori,1973,9788821433627,"Fumetti, Graphic Novel",FALSE
852,Charles Dickens,Bristow il contestatore integrato,Mondadori,1973,-,"Fumetti, Graphic Novel",FALSE
853,Mort Walker,Il mondo è una caserma,Mondadori,1975,8852400222,"Fumetti, Graphic Novel",FALSE
855,Dario Fo,Morte accidentale di un anarchico,Einaudi,1974,9788806039692,"Poesia, Teatro",FALSE
856,Leonardo Sciascia,Il contesto,Einaudi,1971,8807815230,"Giallo, Thriller",FALSE
863,Leonardo Sciascia,Il contesto,Einaudi,1971,9788806323838,"Giallo, Thriller",FALSE
1016,Dario Fo,Le commedie di D. Fo,Einaudi,1975,9788806041831,"Poesia, Teatro",FALSE
1130,Atti convegno Pisa,Il linguaggio cinematografico,Plan,2002,8892354205,"Saggistica, Cinema",FALSE
1445,Quino,Mafalda colpisce ancora,Bompiani,1969,-,"Fumetti, Graphic Novel",FALSE
1515,A. Melucco Vaccaro,I Longobardi in Italia,Longanesi,1982,9788858103609,"Saggistica, Storia",FALSE
1629,Brunetta,Letteratura e cinema,Zanichelli,1976,9788858122792,"Saggistica, Cinema",FALSE
1698,Natalia Ginzburg,Caro Michele,Mondadori,1973,8806133535,"Narrativa, Romanzo",FALSE
1699,Ugo Foscolo,Ultime lettere di Jacopo Ortis,Einaudi,1963,-,"Narrativa, Classico",FALSE
1833,Rolf-Ulrich,Guida alla musica,Mondadori,1969,-,"Saggistica, Musica",FALSE
1851,Jay M. Savage,L’evoluzione,Zanichelli,1967,9788858623718,"Saggistica, Scienze",FALSE
2194,AA. VV.,Programmazione neurolinguistica,Astrolabio,1982,180179961X,"Saggistica, Scienze",FALSE
2266,AA. VV.,Pragmatica della comunicazione umana,Astrolabio,1971,8863587906,"Saggistica, Scienze",FALSE
2587,Antonio Tabucchi,Il filo dell’orizzonte,Feltrinelli,1991,9788862426480,"Narrativa, Romanzo, Giallo",FALSE
2599,Eschilo,I Persiani,Feltrinelli,1991,1547171936,"Poesia, Teatro, Classico",FALSE
2604,Sofocle,Edipo Re,Feltrinelli,1991,9788892985933,"Poesia, Teatro, Classico",FALSE
2675,Carlo Emilio Gadda,Il primo libro delle favole,Mondadori,1990,9788804332411,"Narrativa, Ragazzi",FALSE
2720,Luigi Pirandello,I vecchi e i giovani,Garzanti,1993,8817050741,Romanzo Storico,FALSE
4383,Boris Pasternak,Il dottor Zivago,Loescher,1957,9788807947308,Romanzo Storico,FALSE
6319,Giovanni Verga,Mastro Don Gesualdo,Mondadori,1960,9791041965632,"Narrativa, Classico",FALSE
A120,Lev Tolstoj,Anna Karenina,Einaudi,2014,9788806219321,"Narrativa, Classico",FALSE
A1579,Gabriele D'Annunzio,Il piacere,Gulliver,-,9788868651732,"Narrativa, Classico",FALSE
A1630,Michele Ferrari,Noi abbiamo futuro,Marcos y Marcos,2014,8871689062,Ragazzi,FALSE
-,"Ehsani, Casolo",I ragazzi hanno grandi sogni,Feltrinelli,2018,9788807890536,"Ragazzi, Biografia, Memorie",FALSE
A1622,Leonardo Sciascia,Todo modo,Einaudi,1974,9788806404766,"Giallo, Thriller",FALSE
A1623,Leonardo Sciascia,Todo modo,Einaudi,1974,9076270279,"Giallo, Thriller",FALSE
854,Leonardo Sciascia,Il contesto,Einaudi,1971,8807815230,"Giallo, Thriller",FALSE
A1620,Leonardo Sciascia,Il contesto,Einaudi,1971,8807815230,"Giallo, Thriller",FALSE
A059,Lucia Impelluso,La natura e i suoi simboli,Electa,2004,8837020406,"Saggistica, Arte",FALSE
A066,AA. VV.,"Centrifuga: fughe, ritorni...",Sinnos,2016,8876093311,"Ragazzi, Racconti",FALSE
A067,Bart Moeyaert,Il club della via Lattea,Sinnos,2011,8876095535,Ragazzi,FALSE
A068,Zita Dazzi,In equilibrio perfetto,Sinnos,2016,8876093257,Ragazzi,FALSE
